City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
228,solnechnyy,0,RU,1580454334,87,50.72,136.63,13.75,2.51
229,puerto leguizamo,79,CO,1580454335,84,-0.19,-74.78,75.56,2.28
230,saint george,1,US,1580454206,85,37.1,-113.58,44.6,1.95
231,sabha,0,LY,1580454336,37,27.04,14.43,54.66,7.25
232,loiza,1,PR,1580454336,94,18.43,-65.88,73.4,5.97
233,abu dhabi,0,AE,1580454051,68,24.47,54.37,64.4,3.36
234,aransas pass,75,US,1580454336,82,27.91,-97.15,55.4,8.05
235,jinxiang,0,CN,1580454336,29,22.86,115.7,64.98,2.57
236,saint-augustin,85,CA,1580454337,82,51.23,-58.65,6.89,13.6
237,thompson,90,CA,1580454337,92,55.74,-97.86,21.2,8.05
238,scottsbluff,1,US,1580454337,68,41.87,-103.67,30.99,18.34
239,kuchaman,0,IN,1580454337,36,27.15,74.85,64.26,8.66
240,tazovskiy,97,RU,1580454338,95,67.47,78.7,-12.39,11.56
241,vila do maio,0,CV,1580454338,40,15.13,-23.22,73.4,12.75
242,kachiry,0,KZ,1580454338,91,53.07,76.1,-3.5,6.64
243,richards bay,44,ZA,1580454338,71,-28.78,32.04,78.03,18.97
244,murgab,20,TM,1580454338,70,37.5,61.97,44.6,6.93
245,emerald,96,AU,1580454339,36,-23.53,148.17,95.0,14.99
246,korla,48,CN,1580454339,84,41.76,86.15,30.0,4.03
247,mackay,98,AU,1580454180,66,-21.15,149.2,86.0,16.11
248,acajutla,0,SV,1580454340,77,13.59,-89.83,80.37,11.16
249,mahibadhoo,66,MV,1580454340,73,3.78,72.97,81.25,15.48
250,guipavas,90,FR,1580454340,100,48.44,-4.4,50.0,14.99
251,starodub,97,RU,1580454053,97,52.58,32.76,32.13,10.07
252,damghan,0,IR,1580454341,40,36.17,54.35,42.35,0.83
253,hofn,0,IS,1580454341,61,64.25,-15.21,37.33,14.38
254,general pico,0,AR,1580454341,29,-35.66,-63.76,67.03,13.42
255,khatima,0,IN,1580454342,60,28.92,79.97,61.43,4.54
256,xuanhua,0,CN,1580454306,31,40.61,115.04,32.43,14.16
257,subate,95,LV,1580454342,96,56.01,25.91,33.3,6.73
258,makakilo city,1,US,1580454050,69,21.35,-158.09,77.0,4.7
259,roros,75,NO,1580454342,92,62.57,11.38,24.8,17.22
260,verkhoyansk,97,RU,1580454343,98,67.54,133.38,-12.33,3.29
261,manaure,49,CO,1580454343,84,11.78,-72.44,78.24,18.81
262,paamiut,0,GL,1580454343,47,61.99,-49.67,8.44,6.22
263,sibolga,100,ID,1580454343,73,1.74,98.78,83.82,2.26
264,clyde river,1,CA,1580454343,75,70.47,-68.59,-18.4,4.7
265,vestmanna,100,FO,1580454344,100,62.16,-7.17,35.6,4.7
266,lasem,66,ID,1580454349,78,-6.69,111.45,83.26,16.96
267,whitehorse,75,CA,1580454349,85,60.72,-135.05,17.6,9.17
268,bereda,75,ES,1580454349,82,43.27,-7.54,61.0,14.99
269,airai,68,TL,1580454350,78,-8.93,125.41,77.65,1.45
270,mendi,24,PG,1580454350,90,-6.18,143.65,63.5,4.43
271,barguzin,95,RU,1580454350,84,53.62,109.62,2.88,13.22
272,upata,16,VE,1580454350,88,8.01,-62.4,71.1,4.92
